,sex,age,race,decile_score,v_decile_score,priors_count,c_charge_degree,is_recid,r_charge_degree,is_violent_recid,vr_charge_degree
0,Male,69,Other,1,1,0,(F3),0,,0,
1,Male,31,Caucasian,5,2,0,,-1,,0,
2,Male,34,African-American,3,1,0,(F3),1,(F3),1,(F3)
3,Male,24,African-American,4,3,4,(F3),1,(M1),0,
4,Male,23,African-American,8,6,1,(F3),0,,0,
5,Male,43,Other,1,1,2,(F7),0,,0,
6,Male,44,Other,1,1,0,(M1),0,,0,
7,Male,41,Caucasian,6,2,14,(F3),1,(F2),0,
8,Male,43,Other,4,3,3,(F3),0,,0,
9,Female,39,Caucasian,1,1,0,(M1),0,,0,
10,Male,20,Caucasian,10,9,0,(F3),0,,0,
11,Female,26,Caucasian,5,3,0,(F3),0,,0,
12,Male,21,Caucasian,3,5,1,(F2),1,(M1),1,(F2)
13,Male,27,Caucasian,4,4,0,(F3),0,,0,
14,Male,23,African-American,6,4,3,(M1),1,(M2),0,
15,Female,37,Caucasian,1,1,0,(M1),0,,0,
16,Male,22,Caucasian,3,5,0,(M1),0,,0,
17,Male,41,African-American,4,2,0,(F3),0,,0,
18,Female,47,Caucasian,1,1,1,(F3),1,(F3),0,
19,Male,31,African-American,3,2,7,(F3),1,(M1),0,
20,Male,37,Hispanic,1,1,0,(M1),0,,0,
21,Male,25,African-American,10,9,3,(F3),0,,0,
22,Male,31,Caucasian,5,4,6,(F3),1,(F3),1,(F1)
23,Male,31,Caucasian,3,2,5,(F3),1,(F3),0,
24,Male,64,African-American,6,3,13,(F3),1,(F2),0,
25,Male,21,African-American,9,9,1,(F3),1,(M2),0,
26,Male,27,Caucasian,2,3,0,(M1),1,(M2),0,
27,Female,21,Caucasian,4,5,0,(F3),0,,0,
28,Male,24,African-American,-1,6,2,(F3),1,(M2),0,
29,Male,24,Hispanic,4,5,1,(F3),1,(M1),0,
30,Male,42,Caucasian,3,1,1,(F1),0,,0,
31,Male,43,Caucasian,1,2,1,(M2),0,,0,
32,Male,32,Other,3,4,0,(M1),0,,0,
33,Female,54,African-American,9,5,0,(F3),0,,0,
34,Male,44,African-American,6,4,8,(M2),0,,0,
35,Female,49,Caucasian,1,1,0,,-1,,0,
36,Male,27,African-American,3,3,8,(F3),1,(M2),1,(F3)
37,Female,36,Caucasian,3,1,3,(F3),0,,0,
38,Male,26,African-American,7,7,5,(F3),1,(M1),0,
39,Male,33,African-American,10,6,0,(F3),1,(F3),1,(M1)
40,Male,30,Caucasian,9,10,9,(F3),1,(F3),0,
41,Male,32,African-American,8,3,4,(F3),1,(M1),0,
42,Male,63,African-American,1,1,0,(M1),0,,0,
43,Male,27,Hispanic,3,3,2,(F3),0,,0,
44,Male,55,Caucasian,1,1,0,(F3),0,,0,
45,Male,29,Caucasian,8,6,0,,-1,,0,
46,Male,32,African-American,10,8,15,(F3),0,,0,
47,Male,38,African-American,3,4,5,(F3),0,,0,
48,Male,53,Caucasian,5,2,19,(F3),0,,0,
49,Male,49,Other,3,2,7,(F3),1,(M1),0,
50,Male,26,Caucasian,8,8,6,(M2),0,,0,
51,Female,33,Caucasian,5,2,4,(M1),1,(F3),0,
52,Male,24,Caucasian,2,3,1,(M1),1,(F3),0,
